train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
-594.4782104492188,1,309,0.9923139810562134,100,500,25962.693359375,-187.2298814,1.0,0.0015051960945129395,-2.823988676071167,0.0007,99
-369.7947082519531,2,382,0.9998126029968262,200,1000,22938.0546875,-179.87337330999998,1.0,nan,-2.8362643718719482,0.0007,199
-396.33428955078125,3,414,0.9971319437026978,300,1500,21538.59765625,-180.14129524,1.0,nan,-2.831390142440796,0.0007,299
-431.8361511230469,4,433,1.0035998821258545,400,2000,20201.359375,-172.05653082,1.0,nan,-2.8449199199676514,0.0007,399
-447.26611328125,5,445,1.012314796447754,500,2500,18916.943359375,-173.52002217999998,1.0,nan,-2.8625478744506836,0.0007,499
-405.7616882324219,6,453,1.0122804641723633,600,3000,17690.51953125,-172.10188059,1.0,nan,-2.8621368408203125,0.0007,599
-332.73907470703125,7,459,1.0086262226104736,700,3500,16507.591796875,-172.0,1.0,nan,-2.8538217544555664,0.0007,699
-348.5748596191406,8,464,1.0186232328414917,800,4000,15367.7880859375,-172.0,1.0,nan,-2.874220609664917,0.0007,799
-331.199462890625,9,468,1.0215709209442139,900,4500,14263.9658203125,-172.0,1.0,nan,-2.880017042160034,0.0007,899
-421.4240417480469,10,471,1.0354270935058594,1000,5000,14159.4033203125,-172.19259408,1.0,6.616115570068359e-06,-2.908205509185791,0.0007,999
-298.5152893066406,11,474,1.0382325649261475,1100,5500,12185.919921875,-172.0,1.0,nan,-2.9116439819335938,0.0007,1099
-398.7416076660156,12,476,1.0451276302337646,1200,6000,11206.2041015625,-172.0,1.0,nan,-2.927065849304199,0.0007,1199
-291.1470642089844,13,477,1.0470798015594482,1300,6500,10274.1904296875,-172.42141479999998,1.0,nan,-2.928748846054077,0.0007,1299
-249.6112060546875,14,479,1.042391300201416,1400,7000,9374.6318359375,-172.34049906,1.0,nan,-2.9187469482421875,0.0007,1399
-234.079345703125,15,480,1.0500479936599731,1500,7500,8516.423828125,-172.45238432999997,1.0,nan,-2.9326045513153076,0.0007,1499
-224.89402770996094,16,482,1.054286241531372,1600,8000,7696.9267578125,-172.65808382,1.0,nan,-2.9410808086395264,0.0007,1599
-244.8439483642578,17,483,1.066141128540039,1700,8500,6915.18896484375,-172.0,1.0,nan,-2.963822841644287,0.0007,1699
