rollout/ep_rew_mean,time/iterations,train/explained_variance,train/std,train/policy_loss,train/n_updates,train/entropy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate
-30863.077044999998,100,2.2470951080322266e-05,1.0023711919784546,-3822.6328125,99,-4.266883850097656,297,100.0,1,500,597231.6875,0.0007
-30985.420979,200,0.000586092472076416,1.0065132379531858,-2451.8935546875,199,-4.275744915008545,363,100.0,2,1000,600549.4375,0.0007
-31413.06306800001,300,2.5331974029541016e-05,1.009118676185608,-2784.520263671875,299,-4.281492233276366,393,100.0,3,1500,741221.875,0.0007
-31362.05769915,400,4.553794860839844e-05,1.0094535350799558,-2921.180908203125,399,-4.2857627868652335,411,100.0,4,2000,473613.40625,0.0007
-31259.45795416,500,6.073713302612305e-05,1.01877760887146,-4062.24072265625,499,-4.312169551849365,423,100.0,5,2500,1054479.5,0.0007
-31442.86947436667,600,0.001077115535736084,1.0166754722595217,-4317.38037109375,599,-4.306149482727052,431,100.0,6,3000,1016838.4375,0.0007
-31620.52800477143,700,-0.0002999305725097656,1.0151333808898926,-3824.126708984375,699,-4.301013469696045,437,100.0,7,3500,1246520.375,0.0007
-31839.958338150005,800,-0.0009448528289794922,1.0127214193344116,-4916.45849609375,799,-4.294588088989259,442,100.0,9,4000,1128740.25,0.0007
-32023.33610786667,900,1.6748905181884766e-05,1.0111387968063354,-3845.44580078125,899,-4.287726879119873,446,100.0,10,4500,1148719.125,0.0007
-32217.332117020003,1000,3.0875205993652344e-05,1.018325686454773,-5196.04052734375,999,-4.312708377838135,449,100.0,11,5000,1297420.0,0.0007
-32575.478604236363,1100,3.2186508178710938e-06,1.018476486206055,-4430.15185546875,1099,-4.311210632324219,451,100.0,12,5500,1328429.25,0.0007
-32813.31097385,1200,0.0,1.0240578651428225,-5723.6328125,1199,-4.328947067260741,453,100.0,13,6000,1425575.375,0.0007
-33041.05178963077,1300,-7.152557373046875e-07,1.0249857902526855,-4357.69384765625,1299,-4.3304762840271005,455,100.0,14,6500,1124314.875,0.0007
-33285.321639957154,1400,-9.5367431640625e-07,1.022612452507019,-3068.2177734375,1399,-4.321451663970946,457,100.0,15,7000,742583.6875,0.0007
-33475.264774346666,1500,3.2186508178710938e-06,1.029099702835083,-2865.118408203125,1499,-4.3399744033813485,458,100.0,16,7500,563214.1875,0.0007
-33654.29667373751,1600,2.205371856689453e-06,1.0362520217895508,-3747.29931640625,1599,-4.3606204986572275,459,100.0,17,8000,936766.5,0.0007
-33796.65989970588,1700,5.614757537841797e-05,1.048086166381836,-3228.9638671875,1699,-4.393910884857179,460,100.0,18,8500,737998.9375,0.0007
-33892.55435494444,1800,1.5497207641601562e-06,1.0535238981246948,-4176.923828125,1799,-4.4091219902038565,459,100.0,19,9000,1068254.0,0.0007
-33955.89622709472,1900,-1.6689300537109375e-06,1.0559077262878418,-3910.951904296875,1899,-4.416736125946045,458,100.0,20,9500,970246.0,0.0007
-34037.229395229995,2000,0.0,1.0599400997161863,-5351.73388671875,1999,-4.428424835205078,458,100.0,21,10000,1308550.25,0.0007
-34251.82635377,2100,1.239776611328125e-05,1.0576910972595217,-3891.924560546875,2099,-4.421520233154297,460,100.0,22,10500,910485.3125,0.0007
-34432.21993018,2200,7.748603820800781e-07,1.059359788894653,-3834.61376953125,2199,-4.424619197845459,462,100.0,23,11000,1060791.375,0.0007
