train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/value_loss
-4.2751522064208975,100.0,1,-1360.39013671875,100,-11826.084017,316,0.0007,0.0008963346481323242,500,1.0063570737838743,99,138025.0625
-4.283795356750488,100.0,2,-1131.85888671875,200,-11712.194400700002,390,0.0007,-0.00036406517028808594,1000,1.0101559162139893,199,142498.875
-4.301747798919679,100.0,3,-1390.6260986328125,300,-11817.572002866666,425,0.0007,0.00010246038436889648,1500,1.0153627395629885,299,140428.84375
-4.2878618240356445,100.0,4,-1225.683837890625,400,-11882.8288389,445,0.0007,0.00011914968490600586,2000,1.0110996961593628,399,136200.3125
-4.264988899230957,100.0,5,-1431.7220458984375,500,-11917.430045760002,458,0.0007,2.3543834686279293e-05,2500,1.0028867721557615,499,147263.515625
-4.249278545379639,100.0,6,-1371.9891357421875,600,-11896.568781666667,466,0.0007,0.0007076263427734375,3000,0.9976271390914916,599,136697.671875
-4.255652904510498,100.0,7,-1414.69384765625,700,-11881.193789828569,473,0.0007,-1.7881393432617188e-06,3500,0.9999684691429138,699,147851.84375
-4.250560283660889,100.0,8,-1579.036865234375,800,-11925.9179512,478,0.0007,-0.00027894973754882807,4000,0.997983694076538,799,155301.234375
-4.2477502822875985,100.0,9,-1770.6146240234375,900,-11956.477562155556,482,0.0007,-4.076957702636719e-05,4500,0.996674656867981,899,168069.390625
-4.253882884979248,100.0,10,-1393.7410888671875,1000,-12002.4635524,486,0.0007,-5.936622619628906e-05,5000,0.99940025806427,999,153805.734375
-4.2581048011779785,100.0,11,-1669.954345703125,1100,-12017.359566981819,488,0.0007,3.88026237487793e-05,5500,1.0002311468124392,1099,161360.875
-4.23824405670166,100.0,12,-1567.2816162109375,1200,-12049.802365616664,491,0.0007,-3.5762786865234364e-07,6000,0.9940236806869508,1199,160783.40625
-4.2364373207092285,100.0,13,-1406.3658447265625,1300,-12075.75292583077,493,0.0007,-1.621246337890625e-05,6500,0.9936925768852234,1299,153553.859375
-4.242798805236816,100.0,14,-1344.0477294921875,1400,-12097.228310271428,495,0.0007,-7.152557373046875e-07,7000,0.9960066080093384,1399,153688.296875
-4.245687961578368,100.0,15,-1635.990966796875,1500,-12105.505311746667,496,0.0007,-7.987022399902344e-06,7500,0.9961150884628296,1499,154357.625
-4.250720977783203,100.0,16,-1494.5423583984375,1600,-12122.4563838,497,0.0007,-2.9802322387695312e-06,8000,0.9980697631835938,1599,153146.609375
-4.254269599914552,100.0,17,-2193.286376953125,1700,-12129.251755494117,499,0.0007,5.173683166503906e-05,8500,0.9981752634048462,1699,162140.875
