time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss
2,400,100.0,-32873.6215885,195825.53576171875,199,4,0.001,200,416.03882202148435
4,800,100.0,-35736.773149375,51980.95669921875,172,8,0.001,600,795.0952227783204
7,1200,100.0,-37379.078143583334,143135.81422851564,164,12,0.001,1000,1487.7371936035156
9,1600,100.0,-38289.26242575,150898.82806640625,161,16,0.001,1400,1677.98611328125
12,2000,100.0,-39067.6525532,161885.92516601566,159,20,0.001,1800,1628.683133544922
15,2400,100.0,-39220.93455083333,95489.1709375,158,24,0.001,2200,1572.1062072753907
17,2800,100.0,-39077.344723571434,85793.96955566407,157,28,0.001,2600,1666.7350927734376
20,3200,100.0,-37297.95651528125,80814.95559082032,156,32,0.001,3000,1792.131798095703
23,3600,100.0,-35424.10030047222,83059.94411621094,156,36,0.001,3400,1965.0086975097656
25,4000,100.0,-33540.671733549985,48902.30831542969,155,40,0.001,3800,2137.649815673828
28,4400,100.0,-32057.053481795454,61072.65769042969,155,44,0.001,4200,2303.5914868164064
30,4800,100.0,-30733.069068604163,57381.92087158202,155,48,0.001,4600,2394.599638671875
33,5200,100.0,-29656.31149580769,50818.1946850586,155,52,0.001,5000,2492.743745117188
36,5600,100.0,-28760.649159392862,75024.6985961914,154,56,0.001,5400,2553.8659765625
38,6000,100.0,-27949.2577291,61640.12443359375,154,60,0.001,5800,2588.597214355469
41,6400,100.0,-27202.65039653125,63809.57639770508,154,64,0.001,6200,2651.89177734375
44,6800,100.0,-26561.31773182353,62313.93903564452,154,68,0.001,6600,2703.379440917969
46,7200,100.0,-25987.614914847218,62670.98580200195,154,72,0.001,7000,2726.562932128906
49,7600,100.0,-25455.34126023684,71642.81616943359,154,76,0.001,7400,2777.794741210937
51,8000,100.0,-24974.7800689875,68851.58340698242,154,80,0.001,7800,2839.665109863281
54,8400,100.0,-24557.38948442857,58956.72289794923,154,84,0.001,8200,2900.176096191406
57,8800,100.0,-24165.817252715908,62981.91504699707,153,88,0.001,8600,2944.879978027344
59,9200,100.0,-23812.36426020652,74072.56366455078,153,92,0.001,9000,2983.6002294921873
62,9600,100.0,-23509.950309458334,66521.70940429688,153,96,0.001,9400,3015.8254125976564
65,10000,100.0,-23208.05565544,69305.0062915039,153,100,0.001,9800,3079.465224609375
67,10400,100.0,-22522.34875878,83025.85113525389,153,104,0.001,10200,3127.4745458984376
70,10800,100.0,-21620.65599948,77736.04902404785,153,108,0.001,10600,3158.7093725585937
72,11200,100.0,-20626.37283822,82100.68973388671,153,112,0.001,11000,3194.436857910156
75,11600,100.0,-19626.03925612,77382.19041748048,153,116,0.001,11400,3221.460241699219
78,12000,100.0,-18578.683200159998,77858.19988098144,153,120,0.001,11800,3259.6884765625
80,12400,100.0,-17618.40628964,78981.71749023437,153,124,0.001,12200,3263.36134765625
83,12800,100.0,-16716.389522530008,75585.72796081543,153,128,0.001,12600,3282.282021484375
86,13200,100.0,-16355.76629593,88062.99338500976,153,132,0.001,13000,3313.4829174804686
88,13600,100.0,-16167.985311880002,84680.16501953125,153,136,0.001,13400,3341.8305200195314
91,14000,100.0,-16135.483562710002,90391.4342376709,153,140,0.001,13800,3370.806491699219
93,14400,100.0,-16089.17365584,83681.6669128418,153,144,0.001,14200,3392.652631835937
96,14800,100.0,-16081.42104442,82638.87084350588,153,148,0.001,14600,3399.2609716796874
99,15200,100.0,-16064.6447853,73213.54129699706,153,152,0.001,15000,3419.002998046875
101,15600,100.0,-16064.802049090002,82093.26623535156,153,156,0.001,15400,3426.307915039063
104,16000,100.0,-16069.247677570002,79064.55905273437,153,160,0.001,15800,3443.5290014648435
