train/learning_rate,time/episodes,train/actor_loss,rollout/ep_len_mean,time/fps,train/critic_loss,train/n_updates,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps
0.001,4,285.2052618408203,100.0,197,202835.00154174806,200,-9899.68121525,2,400
0.001,8,515.5460382080078,100.0,171,20576.211334228516,600,-10011.509693375,4,800
0.001,12,493.46366333007813,100.0,165,20391.37160644531,1000,-10056.607967916665,7,1200
0.001,16,526.732991027832,100.0,162,16097.219018554688,1400,-9478.8259278125,9,1600
0.001,20,504.71785705566407,100.0,160,18192.319814453123,1800,-9615.642379649998,12,2000
0.001,24,448.79570434570314,100.0,159,12016.983887939454,2200,-9674.825443666667,15,2400
0.001,28,440.2742306518555,100.0,158,10387.458503417969,2600,-9707.805547821426,17,2800
0.001,32,473.3811480712891,100.0,157,6233.738833007813,3000,-9741.755399,20,3200
0.001,36,535.5383233642578,100.0,156,5721.317581176758,3400,-9757.490346277778,22,3600
0.001,40,606.0244604492187,100.0,156,4485.6030310058595,3800,-9775.135334850002,25,4000
0.001,44,679.1662133789063,100.0,156,4221.053849182129,4200,-9784.749358363637,28,4400
0.001,48,747.3486322021485,100.0,155,5301.2553237915035,4600,-9802.1226266875,30,4800
0.001,52,824.7488403320312,100.0,155,6616.624825897216,5000,-9825.308916846154,33,5200
0.001,56,904.7130499267578,100.0,155,7237.868098449707,5400,-9851.392447785713,36,5600
0.001,60,984.6278491210937,100.0,155,8929.177122192383,5800,-9869.302292849998,38,6000
0.001,64,1074.2198565673827,100.0,155,11560.942756652832,6200,-9883.0943529375,41,6400
0.001,68,1170.0086669921875,100.0,155,13284.798666687011,6600,-9897.6804015,43,6800
0.001,72,1260.2403271484375,100.0,154,16675.68003967285,7000,-9913.452869763889,46,7200
0.001,76,1350.033289794922,100.0,154,15222.900309448241,7400,-9925.024583486844,49,7600
0.001,80,1416.1751879882813,100.0,154,18992.132632141114,7800,-9939.4872291625,51,8000
0.001,84,1488.8067431640625,100.0,154,16424.415477905273,8200,-9952.728181059523,54,8400
0.001,88,1554.900164794922,100.0,154,20894.59742706299,8600,-9964.595184579546,56,8800
0.001,92,1618.7589147949218,100.0,154,21957.295056762694,9000,-9974.343756369564,59,9200
0.001,96,1685.2042407226563,100.0,154,25722.647391357423,9400,-9985.636755208334,62,9600
0.001,100,1684.7487438964845,100.0,154,28069.028233032226,9800,-9991.770575030001,64,10000
0.001,104,1697.3920263671876,100.0,154,26806.241284790038,10200,-10001.81126515,67,10400
0.001,108,1713.3307897949219,100.0,154,23805.16459350586,10600,-10003.162115169998,70,10800
0.001,112,1742.8137243652343,100.0,154,30554.752323608398,11000,-10003.77396929,72,11200
0.001,116,1757.3998474121095,100.0,154,23838.213692321777,11400,-10102.138515699999,75,11600
0.001,120,1802.2858081054687,100.0,154,27240.99804260254,11800,-10104.56499042,77,12000
0.001,124,1814.7330236816406,100.0,154,26707.934998779296,12200,-10114.95949842,80,12400
0.001,128,1840.3864013671875,100.0,154,31115.54466430664,12600,-10125.68566146,83,12800
0.001,132,1903.8367700195313,100.0,153,25418.44821533203,13000,-10134.877028359999,85,13200
0.001,136,1936.1846997070313,100.0,153,25942.979642028808,13400,-10146.856390129999,88,13600
0.001,140,1980.702335205078,100.0,153,28766.79390930176,13800,-10158.76897626,91,14000
0.001,144,2022.6392517089844,100.0,153,28197.61018432617,14200,-10173.35617573,93,14400
0.001,148,2068.5233825683595,100.0,153,34526.2558001709,14600,-10182.06344685,96,14800
0.001,152,2108.106745605469,100.0,153,41536.903984375,15000,-10186.229139640001,98,15200
0.001,156,2173.1929052734376,100.0,153,29476.546533203124,15400,-10187.373112559999,101,15600
0.001,160,2187.4422241210937,100.0,153,41606.636314086914,15800,-10192.3490396,104,16000
0.001,164,2227.519196777344,100.0,153,34732.488446655276,16200,-10196.284442940001,106,16400
0.001,168,2244.3406005859374,100.0,153,46413.64276367187,16600,-10200.78253185,109,16800
0.001,172,2254.021484375,100.0,154,38743.41736206054,17000,-10201.15957458,111,17200
0.001,176,2273.8274926757813,100.0,154,40097.904708862305,17400,-10205.494080909999,114,17600
0.001,180,2264.9837158203127,100.0,154,34532.53959106445,17800,-10205.41533114,116,18000
0.001,184,2281.2676501464844,100.0,154,46156.68390014648,18200,-10204.489424440002,119,18400
0.001,188,2280.295876464844,100.0,154,40115.21572387695,18600,-10205.54653461,121,18800
0.001,192,2310.9126904296877,100.0,154,37375.09847106934,19000,-10204.44611991,124,19200
0.001,196,2298.1243090820312,100.0,154,34624.3498260498,19400,-10204.346861589998,126,19600
0.001,200,2306.7388818359377,100.0,154,40605.7703314209,19800,-10207.34384041,129,20000
0.001,204,2312.8732641601564,100.0,154,38239.56448608398,20200,-10210.662241270002,132,20400
0.001,208,2303.284638671875,100.0,154,45651.61634033203,20600,-10212.675704669999,134,20800
0.001,212,2311.6493994140624,100.0,154,37885.07892211914,21000,-10212.34851622,137,21200
