time/time_elapsed,time/fps,train/learning_rate,time/total_timesteps,train/entropy_loss,train/explained_variance,train/std,train/n_updates,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_loss,train/value_loss
1,313,0.0007,500,-4.284057140350342,0.0026711225509643555,1.0092647075653076,99,100,-29699.1937878,100.0,-2664.761962890625,600519.3125
2,386,0.0007,1000,-4.2803688049316415,0.0004889369010925293,1.0077823400497437,199,200,-30151.7578836,100.0,-3513.559814453125,636424.5
3,418,0.0007,1500,-4.272583961486816,4.8279762268066415e-06,1.0058598518371582,299,300,-30533.436843400003,100.0,-2643.814453125,621975.375
4,437,0.0007,2000,-4.289851665496826,0.00035858154296875,1.0111091136932373,399,400,-30537.454048400003,100.0,-3163.700927734375,656269.125
5,449,0.0007,2500,-4.2921104431152335,6.377696990966797e-05,1.0119627714157104,499,500,-30643.63726384,100.0,-3475.887939453125,898467.1875
6,457,0.0007,3000,-4.294531345367432,-3.361701965332031e-05,1.0129015445709229,599,600,-30616.431474533336,100.0,-3233.60791015625,705495.9375
7,463,0.0007,3500,-4.3131442070007315,1.4901161193847656e-06,1.019500732421875,699,700,-30847.08630611428,100.0,-3490.19140625,960849.9375
8,468,0.0007,4000,-4.308640480041504,0.0007842183113098145,1.0176619291305542,799,800,-31168.456117325004,100.0,-2831.355224609375,613404.8125
9,472,0.0007,4500,-4.294156074523927,5.7220458984375e-06,1.0125682353973389,899,900,-31254.395916688893,100.0,-5616.2705078125,1187074.75
10,475,0.0007,5000,-4.3071303367614755,-7.104873657226562e-05,1.0174081325531006,999,1000,-31085.5096387,100.0,-2766.473388671875,596250.3125
11,477,0.0007,5500,-4.296323776245116,1.3530254364013672e-05,1.0142667293548584,1099,1100,-30995.08125436364,100.0,-2323.745361328125,512994.65625
12,479,0.0007,6000,-4.2984957695007315,1.7285346984863281e-06,1.0137608051300049,1199,1200,-30884.966566816664,100.0,-3037.2890625,393128.4375
13,481,0.0007,6500,-4.293222427368163,-4.720687866210938e-05,1.0125143527984621,1299,1300,-30820.843862353846,100.0,-3581.27587890625,667490.125
14,482,0.0007,7000,-4.273516178131104,4.3511390686035165e-06,1.0065224170684814,1399,1400,-30706.02975044286,100.0,-2520.811279296875,508561.5625
15,483,0.0007,7500,-4.271968364715576,-8.225440979003906e-06,1.0053731203079224,1499,1500,-30620.65866121333,100.0,-3378.218017578125,645617.6875
16,484,0.0007,8000,-4.250324249267578,2.026557922363281e-06,0.9983446002006532,1599,1600,-30575.5183503125,100.0,-3229.30126953125,576393.9375
17,485,0.0007,8500,-4.247260570526123,1.2516975402832031e-06,0.997516632080078,1699,1700,-30595.19283317648,100.0,-3879.039794921875,905917.1875
18,486,0.0007,9000,-4.253222942352295,4.2319297790527335e-06,1.0000317096710205,1799,1800,-30548.749232966664,100.0,-3143.72265625,854527.625
19,487,0.0007,9500,-4.243758678436278,1.1920928955078125e-07,0.9970018267631532,1899,1900,-30638.803086863154,100.0,-3039.04296875,672853.5
20,487,0.0007,10000,-4.239974498748778,-2.6226043701171875e-06,0.9956364035606384,1999,2000,-30659.118690860007,100.0,-4844.49365234375,1229207.75
21,488,0.0007,10500,-4.247848033905028,4.172325134277344e-07,0.9975118041038512,2099,2100,-30710.96104969001,100.0,-4137.275390625,700028.6875
22,488,0.0007,11000,-4.224247932434082,-3.5762786865234364e-07,0.9900072813034058,2199,2200,-30672.40286605,100.0,-2916.575927734375,608022.0
23,489,0.0007,11500,-4.224494457244873,0.0,0.9909560084342957,2299,2300,-30581.57196054999,100.0,-2635.892578125,673441.875
24,489,0.0007,12000,-4.231344699859618,2.384185791015625e-07,0.9927858114242554,2399,2400,-30541.18542685,100.0,-4085.23291015625,1075138.5
25,490,0.0007,12500,-4.209640026092528,0.0,0.9857677817344666,2499,2500,-30500.84756847,100.0,-4095.143798828125,1038010.8125
26,490,0.0007,13000,-4.2247095108032235,2.384185791015625e-07,0.9904451370239258,2599,2600,-30395.73034109001,100.0,-3247.713623046875,661634.5625
27,490,0.0007,13500,-4.234076976776123,5.364418029785156e-07,0.9932837486267091,2699,2700,-30303.195938450004,100.0,-3017.53515625,490171.0625
28,491,0.0007,14000,-4.239717483520509,1.1920928955078125e-07,0.995268940925598,2799,2800,-30152.709540939995,100.0,-3090.154052734375,510181.21875
29,491,0.0007,14500,-4.234939098358153,-1.1920928955078125e-07,0.9944650530815125,2899,2900,-30070.589246169995,100.0,-2183.450927734375,492345.0625
30,492,0.0007,15000,-4.2696566581726065,0.0,1.005642652511597,2999,3000,-30090.42341062,100.0,-3174.499755859375,812136.625
31,492,0.0007,15500,-4.297461986541748,1.7881393432617188e-07,1.0149601697921753,3099,3100,-30040.43893789,100.0,-3049.77734375,549794.6875
32,492,0.0007,16000,-4.3256869316101065,5.960464477539063e-08,1.0244741439819336,3199,3200,-30062.475601299997,100.0,-2990.80859375,611469.1875
33,492,0.0007,16500,-4.3440332412719735,0.0,1.0305306911468506,3299,3300,-30052.23430754,100.0,-3045.518310546875,537801.6875
34,493,0.0007,17000,-4.330890655517578,0.0,1.0260720252990725,3399,3400,-30143.32850786,100.0,-3938.875,941225.6875
35,493,0.0007,17500,-4.3140649795532235,0.0,1.0203481912612915,3499,3500,-30222.13423092,100.0,-3613.985107421875,846749.1875
36,493,0.0007,18000,-4.312506198883057,0.0,1.02043616771698,3599,3600,-30311.10507991,100.0,-2481.6787109375,738754.9375
37,493,0.0007,18500,-4.301527023315431,0.0,1.0154461860656738,3699,3700,-30354.81510094001,100.0,-3164.514892578125,479673.0
38,493,0.0007,19000,-4.3052401542663565,-2.384185791015625e-07,1.0174393653869631,3799,3800,-30436.43655268,100.0,-2339.440185546875,476209.21875
39,494,0.0007,19500,-4.298137664794922,1.7881393432617188e-07,1.0144731998443604,3899,3900,-30392.76812592,100.0,-4158.3779296875,886054.6875
40,494,0.0007,20000,-4.301300048828125,-1.1920928955078125e-07,1.0165429115295408,3999,4000,-30381.276020869995,100.0,-2848.395263671875,810655.75
41,494,0.0007,20500,-4.3149499893188485,-1.1920928955078125e-07,1.019596815109253,4099,4100,-30447.363937040005,100.0,-5921.3046875,1291175.25
42,494,0.0007,21000,-4.309576511383057,1.1920928955078125e-07,1.0185368061065674,4199,4200,-30575.684610689994,100.0,-3640.27734375,907269.9375
43,494,0.0007,21500,-4.32442569732666,0.0,1.024596095085144,4299,4300,-30712.84388197,100.0,-1966.302978515625,448234.5
44,494,0.0007,22000,-4.3018798828125,1.1920928955078125e-07,1.0161197185516355,4399,4400,-30855.717666159995,100.0,-3214.512451171875,773142.6875
45,494,0.0007,22500,-4.299576759338379,1.1920928955078125e-07,1.0157331228256226,4499,4500,-30883.53248601,100.0,-2587.491455078125,558415.9375
46,494,0.0007,23000,-4.314694404602052,-1.1920928955078125e-07,1.0197775363922121,4599,4600,-30950.09887203,100.0,-6265.22412109375,1018359.8125
47,494,0.0007,23500,-4.285857677459717,-1.1920928955078125e-07,1.0116653442382812,4699,4700,-30966.80822703,100.0,-3888.311279296875,933543.8125
