train/explained_variance,train/entropy_loss,train/std,train/policy_loss,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,time/fps
0.0011428594589233398,-4.254434585571288,0.998910129070282,-1758.040283203125,500,1,100,0.0007,99,-11720.5901376,155797.515625,100.0,260
0.0046898722648620605,-4.2636446952819815,1.0026047229766846,-1230.0423583984375,1000,3,200,0.0007,199,-11644.5681022,146934.546875,100.0,316
-8.225440979003906e-06,-4.275113105773927,1.0062782764434814,-1451.7781982421875,1500,4,300,0.0007,299,-11559.064027266668,135683.875,100.0,341
0.10021978616714478,-4.291747570037842,1.0120716094970703,-1409.638671875,2000,5,400,0.0007,399,-11480.58558735,129611.8984375,100.0,355
0.00012761354446411133,-4.300940990447998,1.0149524211883545,-1598.3192138671875,2500,6,500,0.0007,499,-11388.21023272,144108.28125,100.0,364
0.002063751220703125,-4.296318054199219,1.0136526823043823,-1263.5185546875,3000,8,600,0.0007,599,-11395.930709200002,127038.3984375,100.0,370
0.0020096302032470703,-4.292137145996094,1.0124924182891846,-1142.9906005859375,3500,9,700,0.0007,699,-11470.3895364,137464.921875,100.0,375
0.0007854104042053223,-4.294426918029785,1.0131776332855225,-1357.002197265625,4000,10,800,0.0007,799,-11489.181103,135128.5,100.0,379
0.0004895925521850586,-4.303954601287842,1.016005277633667,-1761.2652587890625,4500,11,900,0.0007,899,-11575.999386266665,148832.984375,100.0,381
-0.008524298667907715,-4.302076816558838,1.0160373449325562,-1264.6165771484375,5000,13,1000,0.0007,999,-11654.3813134,143007.078125,100.0,384
2.5331974029541016e-05,-4.307250499725342,1.0174496173858645,-1460.3504638671875,5500,14,1100,0.0007,1099,-11683.683061218182,141226.296875,100.0,385
0.0006659030914306642,-4.300496578216554,1.015827775001526,-1250.9664306640625,6000,15,1200,0.0007,1199,-11702.594806600002,138136.375,100.0,387
