time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
400,4,-9628.41417925,199,100.0,200,146.74029624938964,65988.15389892578,2,0.001
800,8,-9849.2678945,173,100.0,600,453.6826696777344,38427.97783691406,4,0.001
1200,12,-9958.526438416668,165,100.0,1000,466.2637969970703,43373.48116699219,7,0.001
1600,16,-9992.791454499999,161,100.0,1400,449.03090087890627,22340.599379882813,9,0.001
2000,20,-10024.1609862,159,100.0,1800,479.34236206054686,27721.40346557617,12,0.001
2400,24,-10015.875513125,158,100.0,2200,513.7340832519532,42649.830091552736,15,0.001
2800,28,-10000.561556,157,100.0,2600,489.04896484375,40932.50702758789,17,0.001
3200,32,-9995.40967459375,157,100.0,3000,474.24688537597655,11447.938031005859,20,0.001
3600,36,-9986.162828194445,156,100.0,3400,499.787421875,23355.516215820313,22,0.001
4000,40,-9979.045121475001,156,100.0,3800,508.9974139404297,23603.699248657227,25,0.001
4400,44,-9977.89634656818,156,100.0,4200,544.3072772216797,11782.106942749024,28,0.001
4800,48,-9979.2255084375,155,100.0,4600,576.2928527832031,11926.378580932616,30,0.001
5200,52,-9979.97468105769,155,100.0,5000,623.0279711914062,9158.130688476562,33,0.001
5600,56,-9981.994593517857,155,100.0,5400,677.0213562011719,13080.16801940918,35,0.001
6000,60,-9979.057353883334,155,100.0,5800,708.6792639160157,18216.383787231447,38,0.001
6400,64,-9984.930513984375,155,100.0,6200,760.6028125,17025.59659881592,41,0.001
6800,68,-9988.765857073528,155,100.0,6600,797.8825048828126,18873.00013549805,43,0.001
7200,72,-9991.407568375002,155,100.0,7000,844.8557922363282,17060.47864501953,46,0.001
7600,76,-9999.123120302635,154,100.0,7400,879.7698657226563,16964.63895599365,49,0.001
8000,80,-10004.53099385,154,100.0,7800,909.0826257324219,18555.437485351562,51,0.001
8400,84,-10014.201552416665,154,100.0,8200,938.4610534667969,14482.801251220702,54,0.001
8800,88,-10020.414982704546,154,100.0,8600,947.1004748535156,19742.21709777832,56,0.001
9200,92,-10027.620686380436,154,100.0,9000,955.2542651367188,17511.60811767578,59,0.001
9600,96,-10033.237104781248,154,100.0,9400,1000.9856848144532,19963.634557800295,62,0.001
10000,100,-10037.45487959,154,100.0,9800,1035.7811596679687,17593.572971801757,64,0.001
10400,104,-10059.3539375,154,100.0,10200,1067.8081127929688,21769.92273284912,67,0.001
10800,108,-10063.348303670002,154,100.0,10600,1109.0012866210936,21726.683861083984,69,0.001
11200,112,-10065.07957913,154,100.0,11000,1146.36125,18767.602074279785,72,0.001
11600,116,-10070.5392939,154,100.0,11400,1177.6031518554687,33130.79304870605,75,0.001
12000,120,-10071.415199640001,154,100.0,11800,1210.2576904296875,29743.643540649413,77,0.001
12400,124,-10082.69099682,154,100.0,12200,1250.9650537109376,29951.11202331543,80,0.001
12800,128,-10092.40863132,154,100.0,12600,1299.1087573242187,24899.758041381836,83,0.001
