rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,400,200,4,198,-36379.6037395,346.54167724609374,607460.356015625,2,0.001
100.0,800,600,8,172,-37178.409798,765.8580297851563,103106.8773828125,4,0.001
100.0,1200,1000,12,165,-37902.6422885,891.7332849121094,118310.4494140625,7,0.001
100.0,1600,1400,16,162,-36931.292983312494,929.5622900390623,64585.44629882812,9,0.001
100.0,2000,1800,20,160,-37556.550697850005,1153.1928125,167103.42884765624,12,0.001
100.0,2400,2200,24,159,-37755.629352375,1333.8823388671874,217699.90838867187,15,0.001
100.0,2800,2600,28,158,-37450.03209717857,1381.62904296875,198488.12987304688,17,0.001
100.0,3200,3000,32,157,-37301.708804249996,1426.6895751953125,136835.64647460938,20,0.001
100.0,3600,3400,36,157,-37624.95902725,1558.428623046875,170030.10784179688,22,0.001
100.0,4000,3800,40,157,-37942.56915225,1683.9228271484376,155673.45438476562,25,0.001
100.0,4400,4200,44,157,-38070.07879220455,1820.4942431640625,101521.08937988283,28,0.001
100.0,4800,4600,48,156,-38381.0341359375,1985.9998583984373,100342.423203125,30,0.001
100.0,5200,5000,52,156,-38257.548072480764,2158.267878417969,106572.53591308594,33,0.001
100.0,5600,5400,56,156,-37815.44312166072,2349.4580224609376,121820.72691894529,35,0.001
100.0,6000,5800,60,156,-37086.422207216674,2523.6101123046874,120542.6314111328,38,0.001
100.0,6400,6200,64,155,-35809.11948023437,2679.12859375,152424.62649414066,41,0.001
100.0,6800,6600,68,155,-34719.91360269117,2818.6984716796874,154365.06250976562,43,0.001
100.0,7200,7000,72,155,-34222.37743363889,2954.8306787109377,185154.23776367187,46,0.001
100.0,7600,7400,76,155,-33360.526130815786,3094.43990234375,160599.74515136715,48,0.001
100.0,8000,7800,80,155,-32564.6837063125,3207.254951171875,194785.93912597653,51,0.001
100.0,8400,8200,84,155,-31802.633323416667,3295.1565234375,167557.22020996097,54,0.001
100.0,8800,8600,88,155,-31123.470075954545,3392.172255859375,214777.80622558593,56,0.001
100.0,9200,9000,92,155,-30488.90345410869,3440.8176904296874,213001.08024414058,59,0.001
100.0,9600,9400,96,155,-29921.197314500005,3519.6827099609377,209243.96045898442,61,0.001
100.0,10000,9800,100,155,-29385.30508315001,3551.618037109375,288899.1881298828,64,0.001
100.0,10400,10200,104,155,-28591.025281290003,3584.6323876953124,265678.2235351562,66,0.001
100.0,10800,10600,108,155,-27743.86500046,3648.457094726561,245380.76360351566,69,0.001
100.0,11200,11000,112,155,-26829.960672800007,3673.115434570313,300640.40283203125,72,0.001
100.0,11600,11400,116,155,-26133.657065770003,3716.68529296875,239383.70642089844,74,0.001
100.0,12000,11800,120,155,-25200.77750028,3765.951713867188,269713.7774267578,77,0.001
100.0,12400,12200,124,155,-24320.82331947,3823.928374023437,303031.6191357422,79,0.001
100.0,12800,12600,128,155,-23553.453083980006,3834.29603515625,302500.8692382813,82,0.001
100.0,13200,13000,132,155,-22783.49837501,3862.952802734375,239500.83576171874,85,0.001
100.0,13600,13400,136,155,-21844.05464299,3881.357124023437,250783.92224609372,87,0.001
100.0,14000,13800,140,155,-20870.948445859998,3892.429604492188,261947.42569824215,90,0.001
100.0,14400,14200,144,155,-19947.319499110003,3919.6462255859374,243122.3923461914,92,0.001
100.0,14800,14600,148,155,-18921.751896250003,3941.714091796875,281844.3165039063,95,0.001
100.0,15200,15000,152,155,-18094.315193460003,3960.264423828125,330155.5472070312,98,0.001
100.0,15600,15400,156,155,-17471.95778765,4023.708129882813,246268.94899414066,100,0.001
100.0,16000,15800,160,155,-17038.48059603,4004.737495117187,335302.5931347657,103,0.001
100.0,16400,16200,164,155,-17018.0294471,4019.920737304688,287268.45130126947,105,0.001
100.0,16800,16600,168,154,-16963.54695178,4035.91716796875,368502.25369140616,108,0.001
100.0,17200,17000,172,154,-16581.14068787,4076.565185546875,300878.34423828125,111,0.001
100.0,17600,17400,176,154,-16508.718642890002,4075.539565429688,311253.66888183594,113,0.001
100.0,18000,17800,180,154,-16461.54260531,4106.625703125,291118.19599853514,116,0.001
100.0,18400,18200,184,154,-16443.988232330004,4096.91375,334851.6136083984,118,0.001
100.0,18800,18600,188,154,-16418.810750490004,4133.4271240234375,295999.2664453125,121,0.001
100.0,19200,19000,192,154,-16405.891879099996,4136.870810546875,309766.95329345705,123,0.001
100.0,19600,19400,196,154,-16372.8379863,4172.986650390625,290668.24974609376,126,0.001
100.0,20000,19800,200,154,-16352.5307956,4170.97484375,294154.0851611328,129,0.001
100.0,20400,20200,204,154,-16328.838939590005,4205.567763671875,284131.470925293,131,0.001
100.0,20800,20600,208,154,-16294.138547130002,4213.790229492188,364263.47737304686,134,0.001
100.0,21200,21000,212,155,-16276.080308200002,4212.584248046875,327933.73916503903,136,0.001
100.0,21600,21400,216,155,-16261.87134317,4237.799409179687,277561.3740625,139,0.001
100.0,22000,21800,220,155,-16250.768785419998,4225.81798828125,312528.64533447265,141,0.001
100.0,22400,22200,224,155,-16249.78118876,4265.3952197265635,388367.24654296867,144,0.001
100.0,22800,22600,228,155,-16234.813591140004,4284.81935546875,299163.52479980467,146,0.001
100.0,23200,23000,232,155,-16217.53318535,4275.94994140625,289569.06708740233,149,0.001
100.0,23600,23400,236,155,-16194.53993966,4332.124072265625,279323.8281689453,151,0.001
100.0,24000,23800,240,155,-16180.864716140002,4341.73494140625,321481.3470410157,154,0.001
100.0,24400,24200,244,155,-16175.53564472,4385.120556640625,280762.01760742185,156,0.001
100.0,24800,24600,248,155,-16166.9526427,4385.662568359375,351392.84682617185,159,0.001
100.0,25200,25000,252,155,-16175.769225570002,4373.974404296875,370489.5266113281,162,0.001
100.0,25600,25400,256,155,-16164.178845020002,4396.927548828125,392753.3586279297,164,0.001
100.0,26000,25800,260,155,-16159.154606950002,4399.32267578125,335284.7650634766,167,0.001
100.0,26400,26200,264,155,-16172.304186629995,4413.734052734375,379818.3279394531,169,0.001
100.0,26800,26600,268,155,-16187.308166919995,4429.67779296875,376389.93580566405,172,0.001
