train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
200,2,4,17205.96860595703,0.001,196,-11911.242677,100.0,400,114.78052001953122
600,4,8,45215.50139892578,0.001,169,-12037.096853375,100.0,800,344.17304931640626
1000,7,12,49022.76364746094,0.001,162,-12400.817131333335,100.0,1200,551.3997393798828
1400,10,16,50751.14006591797,0.001,159,-12558.58046125,100.0,1600,633.3059545898437
1800,12,20,55987.986516113284,0.001,158,-12576.559687,100.0,2000,792.7314453125
2200,15,24,52176.749333496104,0.001,157,-12377.632468583333,100.0,2400,691.6565734863283
2600,17,28,50669.19351074219,0.001,157,-12232.443561607144,100.0,2800,632.3541418457031
3000,20,32,26248.768708496093,0.001,156,-12054.9786244375,100.0,3200,621.7908898925781
3400,23,36,33818.637681884764,0.001,156,-11987.195325388891,100.0,3600,618.6106713867188
3800,25,40,16924.69924194336,0.001,156,-12058.843805075,100.0,4000,631.2610998535156
4200,28,44,23373.616798095703,0.001,156,-12101.304129113636,100.0,4400,668.0512475585938
4600,30,48,14212.16307861328,0.001,155,-12071.60434775,100.0,4800,700.3283581542969
5000,33,52,16959.862984008792,0.001,155,-11822.16790223077,100.0,5200,732.7807238769533
5400,36,56,21645.61214477539,0.001,155,-11826.55961475,100.0,5600,786.1501232910156
5800,38,60,17288.019228515626,0.001,154,-11898.29595275,100.0,6000,834.9841296386719
6200,41,64,19990.284194335934,0.001,154,-11940.608727265624,100.0,6400,879.5452819824219
6600,44,68,20720.483657226567,0.001,153,-11983.964611602942,100.0,6800,931.9788061523436
7000,46,72,19775.6141796875,0.001,153,-12025.67834961111,100.0,7200,995.596826171875
7400,49,76,19489.723546142577,0.001,153,-12041.283462236841,100.0,7600,1052.028153076172
7800,52,80,29924.892993774414,0.001,153,-12051.82295815,100.0,8000,1105.5812036132813
8200,54,84,28133.559020996094,0.001,152,-12052.487772142857,100.0,8400,1158.8424536132816
8600,57,88,23840.225654907223,0.001,152,-12035.436428715908,100.0,8800,1214.8224462890626
9000,60,92,30713.860073242187,0.001,152,-12003.000895065215,100.0,9200,1269.344814453125
9400,62,96,36641.28856689453,0.001,152,-11988.274982041665,100.0,9600,1332.2222631835934
9800,65,100,43862.35866394043,0.001,152,-11981.782260139995,100.0,10000,1358.8610961914062
10200,68,104,31038.13197509765,0.001,152,-11968.31102194,100.0,10400,1406.38373046875
10600,71,108,33438.785231323236,0.001,151,-11949.8586626,100.0,10800,1455.5056518554688
11000,73,112,41029.35245666504,0.001,151,-11888.38301645,100.0,11200,1494.6826196289062
11400,76,116,42697.623859252926,0.001,151,-11846.30786464,100.0,11600,1534.9752099609375
11800,79,120,50307.77785522461,0.001,151,-11814.83145194,100.0,12000,1576.3732470703126
12200,81,124,53865.455544433586,0.001,151,-11846.61385791,100.0,12400,1619.1119165039065
12600,84,128,42244.786944580075,0.001,151,-11866.179090309995,100.0,12800,1645.1230541992188
13000,87,132,62539.58336791992,0.001,151,-11909.424312459998,100.0,13200,1687.5263671875
13400,90,136,57146.012049560544,0.001,151,-11921.72452262,100.0,13600,1745.9003295898438
13800,92,140,54110.23344116211,0.001,150,-11882.20400964,100.0,14000,1773.6085375976566
14200,95,144,63118.91482299805,0.001,150,-11841.355744,100.0,14400,1823.0075024414066
14600,98,148,54766.9975201416,0.001,150,-11835.84342391,100.0,14800,1881.9865063476566
15000,100,152,67130.29769226075,0.001,150,-11944.789729840006,100.0,15200,1935.780444335937
15400,103,156,73644.86315185548,0.001,150,-11906.681783190004,100.0,15600,1969.528845214844
15800,106,160,79139.66020263673,0.001,150,-11812.173252470002,100.0,16000,2025.751774902344
16200,108,164,84389.36735229492,0.001,150,-11733.67206642,100.0,16400,2090.0577392578125
16600,111,168,88163.68092224121,0.001,150,-11654.80381086,100.0,16800,2139.8669384765626
17000,114,172,109054.75654174805,0.001,150,-11579.11546706,100.0,17200,2182.289860839844
17400,116,176,82977.57320190429,0.001,150,-11516.47734555,100.0,17600,2244.5068603515624
17800,119,180,90161.0837866211,0.001,150,-11460.52590413,100.0,18000,2283.7969140625
18200,122,184,93689.09879882813,0.001,150,-11432.426384109998,100.0,18400,2313.28921875
