time/fps,train/actor_loss,time/time_elapsed,train/critic_loss,rollout/ep_len_mean,time/episodes,train/n_updates,rollout/ep_rew_mean,train/learning_rate,time/total_timesteps
192,153.39999229431152,2,149157.0252734375,100.0,4,200,-9281.774520750001,0.001,400
165,271.56914794921875,4,10745.091169433594,100.0,8,600,-9698.132443125,0.001,800
158,589.0131774902344,7,67483.05051757813,100.0,12,1000,-9835.022683666664,0.001,1200
155,725.4631408691406,10,103046.13075195313,100.0,16,1400,-9906.939771625,0.001,1600
153,745.6527014160156,13,80909.34766113281,100.0,20,1800,-9953.217822000002,0.001,2000
152,667.9582885742187,15,69685.38000488281,100.0,24,2200,-9961.786382916667,0.001,2400
151,612.701372680664,18,59307.63024414062,100.0,28,2600,-9972.71642792857,0.001,2800
150,578.9829412841797,21,36079.40307250977,100.0,32,3000,-9967.75645965625,0.001,3200
149,578.0279132080078,24,37928.00418701172,100.0,36,3400,-9959.77292875,0.001,3600
149,567.9712292480468,26,30907.238236083984,100.0,40,3800,-9951.300677875,0.001,4000
149,597.53537109375,29,25805.778411865234,100.0,44,4200,-9949.120499386363,0.001,4400
148,627.5966809082031,32,17381.038806152344,100.0,48,4600,-9941.274985583334,0.001,4800
148,663.956953125,35,15769.928789672851,100.0,52,5000,-9945.03612278846,0.001,5200
148,701.9795886230469,37,14113.95114807129,100.0,56,5400,-9947.971921553572,0.001,5600
148,743.8506262207031,40,14395.599741210937,100.0,60,5800,-9951.810450016666,0.001,6000
147,784.8830004882813,43,16560.62927429199,100.0,64,6200,-9958.63339075,0.001,6400
147,823.5333410644531,46,11627.141302490234,100.0,68,6600,-9964.619860691177,0.001,6800
147,860.9153942871094,48,15237.003889160156,100.0,72,7000,-9973.72419676389,0.001,7200
147,916.5274768066406,51,14748.15069732666,100.0,76,7400,-9981.768595250001,0.001,7600
147,965.5738830566406,54,16533.02041809082,100.0,80,7800,-9985.6211936375,0.001,8000
147,1028.2074487304687,56,19316.455055541992,100.0,84,8200,-9989.363856499998,0.001,8400
147,1077.1461840820311,59,19495.165606079103,100.0,88,8600,-9996.103201170454,0.001,8800
147,1130.7380883789062,62,22950.700932617186,100.0,92,9000,-10006.061768597825,0.001,9200
147,1187.3276171875,65,23185.972330322267,100.0,96,9400,-10008.400550312499,0.001,9600
147,1241.1682592773439,67,29402.372360229492,100.0,100,9800,-10015.354302939999,0.001,10000
147,1274.1156225585937,70,33196.13313354492,100.0,104,10200,-10047.345306419998,0.001,10400
147,1331.1889672851562,73,29263.87463317871,100.0,108,10600,-10047.966044429999,0.001,10800
147,1382.36935546875,76,36623.900201416014,100.0,112,11000,-10049.99245613,0.001,11200
147,1428.9305883789064,78,40239.21481994629,100.0,116,11400,-10048.313617060001,0.001,11600
147,1473.2669897460937,81,39066.41608093262,100.0,120,11800,-10050.31095431,0.001,12000
147,1527.7411254882813,84,36310.781469726564,100.0,124,12200,-10056.44604384,0.001,12400
147,1564.6926147460938,86,47914.66606384277,100.0,128,12600,-10059.48582403,0.001,12800
147,1608.8807763671875,89,46237.13095825195,100.0,132,13000,-10067.67706888,0.001,13200
147,1647.39869140625,92,50144.92031982422,100.0,136,13400,-10076.87631724,0.001,13600
147,1689.730693359375,95,53377.74144226074,100.0,140,13800,-10082.22379488,0.001,14000
147,1720.0374633789063,97,54276.26532226562,100.0,144,14200,-10090.29193406,0.001,14400
147,1758.39126953125,100,54614.099100952146,100.0,148,14600,-10102.204320410001,0.001,14800
147,1817.9048168945312,103,62326.479494628904,100.0,152,15000,-10108.209691119999,0.001,15200
147,1845.2465185546876,106,72420.94032836914,100.0,156,15400,-10116.561894030001,0.001,15600
147,1905.5476708984374,108,53398.931596679686,100.0,160,15800,-10124.441879900001,0.001,16000
147,1931.4959008789062,111,62220.95729370117,100.0,164,16200,-10131.268622979998,0.001,16400
147,1977.6850415039062,114,72971.32670654297,100.0,168,16600,-10137.565096409999,0.001,16800
147,1996.53583984375,116,77772.81246459961,100.0,172,17000,-10136.693620480002,0.001,17200
147,2042.219423828125,119,57011.859844360355,100.0,176,17400,-10142.246397610003,0.001,17600
147,2088.3597265625,121,79950.98152954102,100.0,180,17800,-10145.895830020001,0.001,18000
147,2143.617451171875,124,75055.179553833,100.0,184,18200,-10152.94095213,0.001,18400
147,2170.0626904296873,127,100676.45601318359,100.0,188,18600,-10154.17331735,0.001,18800
147,2219.6168359375,129,92084.73626708984,100.0,192,19000,-10152.29585227,0.001,19200
147,2261.192998046875,132,88370.64919921875,100.0,196,19400,-10153.87599399,0.001,19600
147,2297.079892578125,135,88126.42206054687,100.0,200,19800,-10150.702976550001,0.001,20000
147,2339.7422216796876,137,103438.64748291015,100.0,204,20200,-10153.616271730001,0.001,20400
147,2376.5928759765625,140,95456.86435302734,100.0,208,20600,-10153.004819189999,0.001,20800
147,2431.3810546875,143,93444.0173803711,100.0,212,21000,-10151.60305275,0.001,21200
147,2460.14759765625,146,100253.09474975587,100.0,216,21400,-10153.00323352,0.001,21600
147,2472.604599609375,148,109946.05017456054,100.0,220,21800,-10152.12199975,0.001,22000
147,2490.689443359375,151,110827.80736694337,100.0,224,22200,-10154.351532940002,0.001,22400
147,2518.2399951171874,154,109456.74079589844,100.0,228,22600,-10155.80217716,0.001,22800
147,2548.8696435546876,156,98604.91969848632,100.0,232,23000,-10153.31321755,0.001,23200
147,2566.5173828125,159,106099.90774108887,100.0,236,23400,-10151.58879819,0.001,23600
147,2603.688935546875,162,110168.06825195313,100.0,240,23800,-10151.949761979999,0.001,24000
147,2619.813916015625,165,119827.64429199218,100.0,244,24200,-10153.70289374,0.001,24400
147,2633.38095703125,167,148510.70587036133,100.0,248,24600,-10149.43632715,0.001,24800
147,2656.93330078125,170,116119.98000976563,100.0,252,25000,-10150.4034964,0.001,25200
147,2658.70134765625,173,113645.23433471679,100.0,256,25400,-10150.25979905,0.001,25600
147,2686.9867919921876,176,122971.79901367187,100.0,260,25800,-10144.712728499999,0.001,26000
147,2707.91232421875,178,121704.97368530273,100.0,264,26200,-10135.544436670001,0.001,26400
147,2720.54634765625,181,118865.86117553711,100.0,268,26600,-10124.4081432,0.001,26800
147,2731.6695458984377,184,123903.45927490234,100.0,272,27000,-10119.08445294,0.001,27200
147,2754.462529296875,187,125636.79446289063,100.0,276,27400,-10105.92479552,0.001,27600
