omega,beta0,E,episode,beta,average R^T
1,0,3000,43,0,-177.4362030029297
1,0,3000,46,0,-176.47569274902344
1,0,3000,72,0,-176.97251892089844
1,0,3000,95,0,-179.3790283203125
1,0,3000,159,0,-182.75697326660156
1,0,3000,168,0,-187.4776611328125
1,0,3000,230,0,-185.5731201171875
1,0,3000,235,0,-185.75527954101562
1,0,3000,256,0,-178.450927734375
1,0,3000,274,0,-175.5763702392578
1,0,3000,309,0,-185.5457763671875
1,0,3000,311,0,-188.39773559570312
1,0,3000,319,0,-186.0260467529297
1,0,3000,422,0,-175.95065307617188
1,0,3000,461,0,-182.01739501953125
1,0,3000,475,0,-180.72422790527344
1,0,3000,537,0,-172.71307373046875
1,0,3000,564,0,-167.75546264648438
1,0,3000,580,0,-168.68038940429688
1,0,3000,587,0,-167.1616668701172
1,0,3000,635,0,-171.1056365966797
1,0,3000,648,0,-178.12136840820312
1,0,3000,662,0,-180.27764892578125
1,0,3000,672,0,-183.859619140625
1,0,3000,715,0,-179.30029296875
1,0,3000,723,0,-178.092529296875
1,0,3000,772,0,-183.6310272216797
1,0,3000,786,0,-181.1591033935547
1,0,3000,788,0,-182.5003204345703
1,0,3000,803,0,-178.3987579345703
1,0,3000,809,0,-175.72781372070312
1,0,3000,837,0,-175.13916015625
1,0,3000,946,0,-174.0132293701172
1,0,3000,972,0,-180.2808837890625
1,0,3000,973,0,-179.37449645996094
1,0,3000,979,0,-180.9447479248047
1,0,3000,1006,0,-176.3586883544922
1,0,3000,1015,0,-174.8755645751953
1,0,3000,1064,0,-172.48939514160156
1,0,3000,1067,0,-172.94898986816406
1,0,3000,1094,0,-174.24935913085938
1,0,3000,1105,0,-172.20681762695312
1,0,3000,1162,0,-168.57846069335938
1,0,3000,1181,0,-170.6475830078125
1,0,3000,1262,0,-167.9983673095703
1,0,3000,1317,0,-167.8313446044922
1,0,3000,1320,0,-167.57269287109375
1,0,3000,1334,0,-171.93472290039062
1,0,3000,1338,0,-170.8256378173828
1,0,3000,1386,0,-161.5372772216797
1,0,3000,1393,0,-165.60897827148438
1,0,3000,1415,0,-161.56423950195312
1,0,3000,1427,0,-164.59474182128906
1,0,3000,1437,0,-161.9775390625
1,0,3000,1467,0,-170.32589721679688
1,0,3000,1492,0,-179.0160675048828
1,0,3000,1524,0,-177.51962280273438
1,0,3000,1553,0,-168.19598388671875
1,0,3000,1569,0,-166.03842163085938
1,0,3000,1585,0,-158.8217315673828
1,0,3000,1606,0,-160.81198120117188
1,0,3000,1641,0,-160.01353454589844
1,0,3000,1692,0,-158.4875946044922
1,0,3000,1710,0,-160.30599975585938
1,0,3000,1719,0,-162.1545867919922
1,0,3000,1733,0,-164.45338439941406
1,0,3000,1735,0,-163.8013458251953
1,0,3000,1738,0,-160.88816833496094
1,0,3000,1782,0,-155.68194580078125
1,0,3000,1845,0,-149.24990844726562
1,0,3000,1854,0,-152.6370849609375
1,0,3000,1867,0,-155.05105590820312
1,0,3000,1870,0,-154.2543487548828
1,0,3000,1878,0,-155.96934509277344
1,0,3000,1918,0,-155.4362335205078
1,0,3000,1935,0,-151.94317626953125
1,0,3000,1948,0,-150.0104217529297
1,0,3000,2002,0,-165.07611083984375
1,0,3000,2037,0,-158.479248046875
1,0,3000,2078,0,-147.58656311035156
1,0,3000,2097,0,-147.20266723632812
1,0,3000,2188,0,-155.26893615722656
1,0,3000,2200,0,-153.54183959960938
1,0,3000,2212,0,-155.75888061523438
1,0,3000,2232,0,-150.98507690429688
1,0,3000,2237,0,-152.20343017578125
1,0,3000,2238,0,-153.8427276611328
1,0,3000,2258,0,-146.5268096923828
1,0,3000,2263,0,-144.02670288085938
1,0,3000,2308,0,-148.5382843017578
1,0,3000,2320,0,-149.96676635742188
1,0,3000,2355,0,-150.99134826660156
1,0,3000,2390,0,-152.27618408203125
1,0,3000,2391,0,-151.29844665527344
1,0,3000,2393,0,-150.97793579101562
1,0,3000,2437,0,-152.13092041015625
1,0,3000,2454,0,-150.2719268798828
1,0,3000,2456,0,-151.9659423828125
1,0,3000,2461,0,-149.68011474609375
1,0,3000,2486,0,-149.724853515625
1,0,3000,2487,0,-150.138916015625
1,0,3000,2497,0,-151.32135009765625
1,0,3000,2499,0,-150.30352783203125
1,0,3000,2504,0,-152.366455078125
1,0,3000,2533,0,-153.75128173828125
1,0,3000,2548,0,-154.64854431152344
1,0,3000,2554,0,-153.7959442138672
1,0,3000,2686,0,-141.2589569091797
1,0,3000,2741,0,-137.58364868164062
1,0,3000,2755,0,-141.8564910888672
1,0,3000,2790,0,-144.0242156982422
1,0,3000,2897,0,-144.8919219970703
1,0,3000,2968,0,-140.66946411132812
1,0,3000,3012,0,-136.4233856201172
1,0,3000,3039,0,-147.2410888671875
1,0,3000,3042,0,-145.90110778808594
1,0,3000,3100,0,-138.73121643066406
1,0,3000,3162,0,-136.85879516601562
1,0,3000,3197,0,-138.68338012695312
1,0,3000,3231,0,-144.24440002441406
1,0,3000,3245,0,-144.29991149902344
1,0,3000,3247,0,-143.97657775878906
1,0,3000,3248,0,-143.99957275390625
1,0,3000,3306,0,-144.86260986328125
1,0,3000,3377,0,-139.87277221679688
1,0,3000,3409,0,-135.9893798828125
1,0,3000,3450,0,-142.93557739257812
1,0,3000,3481,0,-141.27882385253906
1,0,3000,3601,0,-140.37811279296875
1,0,3000,3619,0,-136.10031127929688
1,0,3000,3621,0,-135.7936553955078
1,0,3000,3671,0,-138.75668334960938
1,0,3000,3727,0,-134.8475341796875
1,0,3000,3742,0,-136.75416564941406
1,0,3000,3794,0,-135.59896850585938
1,0,3000,3815,0,-134.62205505371094
1,0,3000,3820,0,-134.85317993164062
1,0,3000,3822,0,-135.125244140625
1,0,3000,3865,0,-141.7041473388672
1,0,3000,3929,0,-133.8413848876953
1,0,3000,3957,0,-136.6797637939453
