alpha,beta0,cut,Episode,beta,Average over RMS of Value Estimates
0.1,0,0,1,0,0.8052343939509217
0.1,0,0,2,0,0.6521206814017948
0.1,0,0,3,0,0.5607898020060829
0.1,0,0,4,0,0.5082835335143004
0.1,0,0,5,0,0.4727902696415298
0.1,0,0,6,0,0.4478125961727803
0.1,0,0,7,0,0.42674953373955476
0.1,0,0,8,0,0.40921482255402813
0.1,0,0,9,0,0.39438521754204253
0.1,0,0,10,0,0.3812322978672638
0.1,0,0,11,0,0.3687606890889386
0.1,0,0,12,0,0.3581072372712066
0.1,0,0,13,0,0.34746990420396523
0.1,0,0,14,0,0.3396271729715832
0.1,0,0,15,0,0.3303381328990522
0.1,0,0,16,0,0.3219422815622652
0.1,0,0,17,0,0.3134350943842574
0.1,0,0,18,0,0.305158743781426
0.1,0,0,19,0,0.29751350101724716
0.1,0,0,20,0,0.29226117544498287
0.1,0,0,21,0,0.28552760374679775
0.1,0,0,22,0,0.2795876736844232
0.1,0,0,23,0,0.2727159256397318
0.1,0,0,24,0,0.26724937952255795
0.1,0,0,25,0,0.2630465832641476
0.1,0,0,26,0,0.2579705040887282
0.1,0,0,27,0,0.2517553063322906
0.1,0,0,28,0,0.24625997968641042
0.1,0,0,29,0,0.2417531915581211
0.1,0,0,30,0,0.23659676228566265
0.1,0,0,31,0,0.2325115295635042
0.1,0,0,32,0,0.22911307522235577
0.1,0,0,33,0,0.22499419981933666
0.1,0,0,34,0,0.2208350063287805
0.1,0,0,35,0,0.21730211897524668
0.1,0,0,36,0,0.21358882973748727
0.1,0,0,37,0,0.21049013664778626
0.1,0,0,38,0,0.20768494762943635
0.1,0,0,39,0,0.20403824089058825
0.1,0,0,40,0,0.2003465251970695
0.1,0,0,41,0,0.19631300893863574
0.1,0,0,42,0,0.19301500028731394
0.1,0,0,43,0,0.19041292200089535
0.1,0,0,44,0,0.18844673816260957
0.1,0,0,45,0,0.18563967587396235
0.1,0,0,46,0,0.18309645684119263
0.1,0,0,47,0,0.18036596971485505
0.1,0,0,48,0,0.1774331009889326
0.1,0,0,49,0,0.17389326842630815
0.1,0,0,50,0,0.17067283739860975
0.1,0,0,51,0,0.16768611255506902
0.1,0,0,52,0,0.16492048586925911
0.1,0,0,53,0,0.16254118688322897
0.1,0,0,54,0,0.15931349915351303
0.1,0,0,55,0,0.15792325122072084
0.1,0,0,56,0,0.15563726637012526
0.1,0,0,57,0,0.15279782043416218
0.1,0,0,58,0,0.1502974947214349
0.1,0,0,59,0,0.1480756502764853
0.1,0,0,60,0,0.14516239987634263
0.1,0,0,61,0,0.14270240176519441
0.1,0,0,62,0,0.13925997428695605
0.1,0,0,63,0,0.13686199031784851
0.1,0,0,64,0,0.134659654042234
0.1,0,0,65,0,0.13322331640275378
