alpha,beta0,lambda,Episode,beta,Average over RMS of Value Estimates
0.1,0.0,0.0,1,0.0,0.5701712597504498
0.1,0.0,0.0,2,0.0,0.5675624931776324
0.1,0.0,0.0,3,0.0,0.5652039193179056
0.1,0.0,0.0,4,0.0,0.5627111272897933
0.1,0.0,0.0,5,0.0,0.560718877386621
0.1,0.0,0.0,6,0.0,0.5584765951066363
0.1,0.0,0.0,7,0.0,0.55585071005878
0.1,0.0,0.0,8,0.0,0.55319338684833
0.1,0.0,0.0,9,0.0,0.5507266312893467
0.1,0.0,0.0,10,0.0,0.5487150068107581
0.1,0.0,0.0,11,0.0,0.5463538288520752
0.1,0.0,0.0,12,0.0,0.5441749702691202
0.1,0.0,0.0,13,0.0,0.542511493875745
0.1,0.0,0.0,14,0.0,0.540498155612869
0.1,0.0,0.0,15,0.0,0.5387218185620547
0.1,0.0,0.0,16,0.0,0.5365488953678961
0.1,0.0,0.0,17,0.0,0.5346023420275727
0.1,0.0,0.0,18,0.0,0.532689364974425
0.1,0.0,0.0,19,0.0,0.5306707827448581
0.1,0.0,0.0,20,0.0,0.528409381109611
0.1,0.0,0.0,21,0.0,0.5266422318428113
0.1,0.0,0.0,22,0.0,0.5248554190819786
0.1,0.0,0.0,23,0.0,0.5230287573092298
0.1,0.0,0.0,24,0.0,0.521000301886384
0.1,0.0,0.0,25,0.0,0.5184605046934213
0.1,0.0,0.0,26,0.0,0.5162404456801021
0.1,0.0,0.0,27,0.0,0.5141448494631118
0.1,0.0,0.0,28,0.0,0.5121458276714215
0.1,0.0,0.0,29,0.0,0.5103821809158374
0.1,0.0,0.0,30,0.0,0.5082440888130385
0.1,0.0,0.0,31,0.0,0.5060597784391971
0.1,0.0,0.0,32,0.0,0.5037776161837363
0.1,0.0,0.0,33,0.0,0.5014862720277169
0.1,0.0,0.0,34,0.0,0.4994669240775196
0.1,0.0,0.0,35,0.0,0.49740937774151983
0.1,0.0,0.0,36,0.0,0.4955865281749844
0.1,0.0,0.0,37,0.0,0.4932259604981488
0.1,0.0,0.0,38,0.0,0.49101720087045514
0.1,0.0,0.0,39,0.0,0.48897570610073204
0.1,0.0,0.0,40,0.0,0.4867434005621156
0.1,0.0,0.0,41,0.0,0.4847208612402878
0.1,0.0,0.0,42,0.0,0.4828782535914663
0.1,0.0,0.0,43,0.0,0.480968361394013
0.1,0.0,0.0,44,0.0,0.47886513806941905
0.1,0.0,0.0,45,0.0,0.4766837019366525
0.1,0.0,0.0,46,0.0,0.47474136346802437
0.1,0.0,0.0,47,0.0,0.47275096410187833
0.1,0.0,0.0,48,0.0,0.47022740359710796
0.1,0.0,0.0,49,0.0,0.4681851983598979
0.1,0.0,0.0,50,0.0,0.46623927736090154
0.1,0.0,0.0,51,0.0,0.4639082229868029
0.1,0.0,0.0,52,0.0,0.462049919886655
0.1,0.0,0.0,53,0.0,0.46019281542855234
0.1,0.0,0.0,54,0.0,0.45859376064745916
0.1,0.0,0.0,55,0.0,0.4566160818632971
0.1,0.0,0.0,56,0.0,0.45493498073131233
0.1,0.0,0.0,57,0.0,0.45319539410668136
0.1,0.0,0.0,58,0.0,0.4509979022700889
0.1,0.0,0.0,59,0.0,0.44915805873820985
0.1,0.0,0.0,60,0.0,0.4471784260896819
0.1,0.0,0.0,61,0.0,0.445748644431602
0.1,0.0,0.0,62,0.0,0.4437842135040716
0.1,0.0,0.0,63,0.0,0.4416836538581682
0.1,0.0,0.0,64,0.0,0.43967062751149255
0.1,0.0,0.0,65,0.0,0.43768452716399653
0.1,0.0,0.0,66,0.0,0.4357872833657096
0.1,0.0,0.0,67,0.0,0.43358830911186
0.1,0.0,0.0,68,0.0,0.4313969774505594
0.1,0.0,0.0,69,0.0,0.4295450240191059
0.1,0.0,0.0,70,0.0,0.4275702284778773
0.1,0.0,0.0,71,0.0,0.425739119551702
0.1,0.0,0.0,72,0.0,0.42416830171663966
0.1,0.0,0.0,73,0.0,0.4221872945156517
0.1,0.0,0.0,74,0.0,0.42053293656462576
0.1,0.0,0.0,75,0.0,0.41880536859944834
0.1,0.0,0.0,76,0.0,0.4168013277222965
0.1,0.0,0.0,77,0.0,0.4151435530261061
0.1,0.0,0.0,78,0.0,0.41318250721823707
0.1,0.0,0.0,79,0.0,0.4109538708176524
0.1,0.0,0.0,80,0.0,0.40935218756942426
0.1,0.0,0.0,81,0.0,0.40725307229662805
0.1,0.0,0.0,82,0.0,0.4055102486355255
0.1,0.0,0.0,83,0.0,0.40365875616112207
0.1,0.0,0.0,84,0.0,0.4018419372955237
0.1,0.0,0.0,85,0.0,0.3999701445585244
0.1,0.0,0.0,86,0.0,0.3979347044725564
0.1,0.0,0.0,87,0.0,0.3960095165932944
0.1,0.0,0.0,88,0.0,0.3943274570048663
0.1,0.0,0.0,89,0.0,0.39267676569552257
0.1,0.0,0.0,90,0.0,0.3907533411758066
0.1,0.0,0.0,91,0.0,0.38924803103431616
0.1,0.0,0.0,92,0.0,0.387708128783395
0.1,0.0,0.0,93,0.0,0.38574108168964905
0.1,0.0,0.0,94,0.0,0.3840161456149854
0.1,0.0,0.0,95,0.0,0.3825045530594058
0.1,0.0,0.0,96,0.0,0.3804886656501028
0.1,0.0,0.0,97,0.0,0.3787798351004082
0.1,0.0,0.0,98,0.0,0.3771159738031611
0.1,0.0,0.0,99,0.0,0.37538358493093216
0.1,0.0,0.0,100,0.0,0.3735574483209161
0.1,0.0,0.0,101,0.0,0.3717142122442997
0.1,0.0,0.0,102,0.0,0.3700407058073462
0.1,0.0,0.0,103,0.0,0.3681167184569787
0.1,0.0,0.0,104,0.0,0.3665665547871304
0.1,0.0,0.0,105,0.0,0.36436245577143217
0.1,0.0,0.0,106,0.0,0.3628798278147186
0.1,0.0,0.0,107,0.0,0.36123351897177275
0.1,0.0,0.0,108,0.0,0.3595873956519381
0.1,0.0,0.0,109,0.0,0.35782136496197026
0.1,0.0,0.0,110,0.0,0.35601033732160237
