omega,beta0,E,episode,beta,average R^T
10,0,4000,6,0,-8121.1162109375
10,0,4000,19,0,-8758.5048828125
10,0,4000,25,0,-8774.35546875
10,0,4000,41,0,-8764.0244140625
10,0,4000,43,0,-8728.5791015625
10,0,4000,46,0,-8615.9931640625
10,0,4000,54,0,-8588.8701171875
10,0,4000,57,0,-8728.5087890625
10,0,4000,72,0,-8502.806640625
10,0,4000,75,0,-8446.0439453125
10,0,4000,95,0,-8801.41015625
10,0,4000,103,0,-8961.2509765625
10,0,4000,107,0,-8883.197265625
10,0,4000,127,0,-9049.52734375
10,0,4000,140,0,-9096.17578125
10,0,4000,156,0,-9053.0439453125
10,0,4000,159,0,-8936.67578125
10,0,4000,168,0,-8784.90234375
10,0,4000,179,0,-8862.7685546875
10,0,4000,184,0,-8665.0478515625
10,0,4000,186,0,-8673.15234375
10,0,4000,187,0,-8631.328125
10,0,4000,191,0,-8654.517578125
10,0,4000,208,0,-8854.1357421875
10,0,4000,230,0,-8886.8642578125
10,0,4000,235,0,-8894.8427734375
10,0,4000,250,0,-8922.7216796875
10,0,4000,256,0,-8901.7099609375
10,0,4000,261,0,-8874.5908203125
10,0,4000,268,0,-8946.18359375
10,0,4000,272,0,-8903.08203125
10,0,4000,274,0,-8846.0302734375
10,0,4000,293,0,-8798.609375
10,0,4000,309,0,-8554.5810546875
10,0,4000,311,0,-8566.908203125
10,0,4000,319,0,-8587.5224609375
10,0,4000,331,0,-8715.4130859375
10,0,4000,340,0,-8873.43359375
10,0,4000,348,0,-8754.6240234375
10,0,4000,364,0,-9149.1171875
10,0,4000,368,0,-9153.2841796875
10,0,4000,422,0,-8908.271484375
10,0,4000,423,0,-8891.6953125
10,0,4000,440,0,-8969.625
10,0,4000,443,0,-8990.8466796875
10,0,4000,446,0,-8972.47265625
10,0,4000,461,0,-8868.5400390625
10,0,4000,464,0,-8827.974609375
10,0,4000,465,0,-8849.126953125
10,0,4000,475,0,-8665.765625
10,0,4000,492,0,-8549.4765625
10,0,4000,494,0,-8516.2392578125
10,0,4000,515,0,-8591.9697265625
10,0,4000,518,0,-8640.8076171875
10,0,4000,532,0,-8753.7470703125
10,0,4000,537,0,-8778.4609375
10,0,4000,564,0,-8899.58984375
10,0,4000,574,0,-8784.8515625
10,0,4000,580,0,-8836.06640625
10,0,4000,582,0,-8682.751953125
10,0,4000,587,0,-8661.3896484375
10,0,4000,588,0,-8626.75390625
10,0,4000,603,0,-8297.599609375
10,0,4000,621,0,-8183.7236328125
10,0,4000,623,0,-8120.06298828125
10,0,4000,635,0,-8326.05078125
10,0,4000,642,0,-8463.5458984375
10,0,4000,643,0,-8415.5380859375
10,0,4000,645,0,-8425.720703125
10,0,4000,648,0,-8381.2861328125
10,0,4000,650,0,-8428.345703125
10,0,4000,662,0,-8557.5009765625
10,0,4000,672,0,-8617.5341796875
10,0,4000,684,0,-8664.015625
10,0,4000,689,0,-8687.603515625
10,0,4000,715,0,-8725.8828125
10,0,4000,719,0,-8674.0009765625
10,0,4000,723,0,-8591.0009765625
10,0,4000,724,0,-8519.2919921875
10,0,4000,731,0,-8364.3359375
10,0,4000,740,0,-8321.5341796875
10,0,4000,744,0,-8291.853515625
10,0,4000,748,0,-8333.9599609375
10,0,4000,753,0,-8244.8505859375
10,0,4000,757,0,-8287.5
10,0,4000,766,0,-8577.8818359375
10,0,4000,770,0,-8632.0302734375
10,0,4000,772,0,-8483.09375
10,0,4000,774,0,-8554.1650390625
10,0,4000,781,0,-8641.6181640625
10,0,4000,786,0,-8769.884765625
10,0,4000,788,0,-8745.92578125
10,0,4000,793,0,-8833.0087890625
10,0,4000,795,0,-8815.421875
10,0,4000,799,0,-8966.998046875
10,0,4000,803,0,-8969.7646484375
10,0,4000,809,0,-8955.6123046875
10,0,4000,810,0,-8951.515625
10,0,4000,833,0,-8795.810546875
10,0,4000,837,0,-8570.408203125
10,0,4000,870,0,-8116.29736328125
10,0,4000,877,0,-8069.68359375
10,0,4000,883,0,-8359.595703125
10,0,4000,897,0,-8426.9033203125
10,0,4000,901,0,-8510.3759765625
10,0,4000,908,0,-8617.2021484375
10,0,4000,910,0,-8582.8681640625
10,0,4000,916,0,-8571.45703125
10,0,4000,918,0,-8605.134765625
10,0,4000,932,0,-8462.044921875
10,0,4000,933,0,-8476.2802734375
10,0,4000,943,0,-8487.7451171875
10,0,4000,946,0,-8309.7958984375
10,0,4000,955,0,-8369.400390625
10,0,4000,959,0,-8312.4443359375
10,0,4000,963,0,-8327.40234375
10,0,4000,972,0,-8278.6806640625
10,0,4000,973,0,-8287.0439453125
10,0,4000,979,0,-8327.501953125
10,0,4000,980,0,-8318.3125
10,0,4000,985,0,-8168.9501953125
10,0,4000,997,0,-8262.3212890625
10,0,4000,1003,0,-8218.4765625
10,0,4000,1006,0,-8202.4228515625
10,0,4000,1015,0,-8288.5625
10,0,4000,1026,0,-8287.0498046875
10,0,4000,1045,0,-8478.4716796875
10,0,4000,1058,0,-8238.9853515625
10,0,4000,1064,0,-8148.2880859375
10,0,4000,1067,0,-8044.765625
10,0,4000,1069,0,-8015.9267578125
10,0,4000,1073,0,-8065.8447265625
10,0,4000,1079,0,-8119.3232421875
10,0,4000,1084,0,-8120.07080078125
10,0,4000,1094,0,-8071.3466796875
10,0,4000,1100,0,-8295.8779296875
10,0,4000,1105,0,-8445.8212890625
10,0,4000,1115,0,-8597.7529296875
10,0,4000,1120,0,-8747.0087890625
10,0,4000,1157,0,-9488.2724609375
10,0,4000,1161,0,-9560.7646484375
10,0,4000,1162,0,-9553.4521484375
10,0,4000,1163,0,-9592.228515625
10,0,4000,1181,0,-9469.861328125
10,0,4000,1193,0,-9335.7529296875
10,0,4000,1194,0,-9374.626953125
10,0,4000,1200,0,-9367.55078125
10,0,4000,1207,0,-9419.9482421875
10,0,4000,1233,0,-9556.263671875
10,0,4000,1235,0,-9607.1396484375
10,0,4000,1245,0,-9733.3134765625
10,0,4000,1256,0,-9701.671875
10,0,4000,1259,0,-9691.4267578125
10,0,4000,1262,0,-9629.646484375
10,0,4000,1282,0,-9555.4189453125
10,0,4000,1288,0,-9504.099609375
10,0,4000,1295,0,-9427.5947265625
10,0,4000,1301,0,-9473.21484375
10,0,4000,1311,0,-9557.671875
10,0,4000,1317,0,-9621.1708984375
10,0,4000,1320,0,-9617.837890625
10,0,4000,1331,0,-9716.033203125
10,0,4000,1334,0,-9694.857421875
10,0,4000,1337,0,-9684.9140625
10,0,4000,1338,0,-9683.0244140625
10,0,4000,1386,0,-9862.1396484375
10,0,4000,1389,0,-9849.115234375
10,0,4000,1392,0,-9820.0595703125
10,0,4000,1393,0,-9818.310546875
10,0,4000,1415,0,-9874.9599609375
10,0,4000,1427,0,-9808.78125
10,0,4000,1429,0,-9734.27734375
10,0,4000,1433,0,-9749.1015625
10,0,4000,1437,0,-9729.0986328125
10,0,4000,1441,0,-9684.2216796875
10,0,4000,1466,0,-9444.859375
10,0,4000,1467,0,-9428.61328125
10,0,4000,1478,0,-9363.7705078125
10,0,4000,1486,0,-9320.228515625
10,0,4000,1490,0,-9377.1064453125
10,0,4000,1492,0,-9387.71484375
10,0,4000,1509,0,-9570.599609375
10,0,4000,1524,0,-9748.974609375
10,0,4000,1528,0,-9817.51171875
10,0,4000,1553,0,-9893.8720703125
10,0,4000,1569,0,-9984.740234375
10,0,4000,1570,0,-9997.490234375
10,0,4000,1585,0,-10070.705078125
10,0,4000,1589,0,-10121.8125
10,0,4000,1598,0,-10159.30859375
10,0,4000,1605,0,-10159.26953125
